PUMA,Total Injuries per 100 Street Miles,Pedestrian Injuries per 100 Street Miles,Cyclist Injuries per 100 Street Miles,Motorist Injuries per 100 Street Miles,Total Fatalities per 100 Street Miles,Street Miles
3603701,493.67088607594934,134.17721518987344,18.9873417721519,340.50632911392404,3.79746835443038,79
3603702,634.8837209302326,141.08527131782947,14.728682170542637,479.06976744186045,2.3255813953488373,129
3603703,299.38271604938274,50.617283950617285,14.814814814814813,233.95061728395063,1.8518518518518516,162
3603704,815.6862745098039,163.72549019607843,16.666666666666664,635.2941176470588,3.9215686274509802,102
3603705,1143.0,277.0,47.0,819.0,4.0,100
3603706,1237.7777777777778,431.1111111111111,40.0,766.6666666666667,4.444444444444445,45
3603707,1291.6666666666665,379.16666666666663,41.66666666666667,870.8333333333334,2.083333333333333,48
3603708,1095.081967213115,321.3114754098361,40.98360655737705,732.7868852459017,3.278688524590164,61
3603709,704.3859649122808,176.3157894736842,36.84210526315789,491.22807017543863,2.631578947368421,114
3603710,875.8064516129032,208.06451612903226,31.451612903225808,636.2903225806452,4.838709677419355,124
3603801,1005.5555555555555,359.72222222222223,68.05555555555556,577.7777777777777,12.5,72
3603802,1362.2222222222222,346.6666666666667,137.77777777777777,877.7777777777778,8.88888888888889,45
3603803,1237.2093023255816,400.0,102.32558139534885,734.8837209302326,4.651162790697675,43
3603804,1056.6666666666667,330.0,75.0,651.6666666666666,1.6666666666666667,60
3603805,998.360655737705,403.2786885245901,121.31147540983606,473.7704918032787,3.278688524590164,61
3603806,1131.7460317460318,400.0,165.07936507936506,566.6666666666667,3.1746031746031744,63
3603807,2102.3255813953488,839.5348837209303,269.7674418604651,993.0232558139535,15.11627906976744,86
3603808,1803.7735849056603,666.0377358490566,205.6603773584906,932.0754716981131,3.7735849056603774,53
3603809,1451.7241379310344,487.9310344827586,329.3103448275862,634.4827586206897,10.344827586206897,58
3603810,1010.6382978723404,380.8510638297872,142.5531914893617,487.2340425531915,3.1914893617021276,94
3603901,163.88888888888889,20.454545454545457,4.545454545454546,138.88888888888889,1.0101010101010102,396
3603902,241.64133738601822,34.954407294832826,6.079027355623101,200.60790273556233,2.43161094224924,329
3603903,325.1700680272109,66.3265306122449,7.142857142857142,251.70068027210885,2.7210884353741496,294
3604001,718.9655172413793,175.86206896551724,106.89655172413792,436.2068965517241,5.172413793103448,116
3604002,1104.5454545454545,213.63636363636363,159.0909090909091,731.8181818181819,4.545454545454546,66
3604003,1215.2542372881358,333.89830508474574,130.5084745762712,750.8474576271187,3.389830508474576,59
3604004,1089.4736842105265,296.84210526315786,129.47368421052633,663.1578947368421,3.1578947368421053,95
3604005,637.8947368421053,150.5263157894737,77.89473684210526,409.4736842105263,1.0526315789473684,95
3604006,1806.7796610169491,461.0169491525424,93.22033898305084,1252.542372881356,5.084745762711865,59
3604007,1548.1012658227849,287.34177215189874,73.41772151898735,1187.3417721518986,3.79746835443038,79
3604008,1085.9259259259259,180.0,31.11111111111111,874.8148148148149,1.4814814814814816,135
3604009,740.0,117.56097560975608,25.853658536585368,596.5853658536586,1.951219512195122,205
3604010,1985.0574712643677,258.62068965517244,66.66666666666666,1659.7701149425286,6.896551724137931,87
3604011,1792.6829268292681,392.6829268292683,136.58536585365854,1263.4146341463415,7.317073170731707,41
3604012,854.945054945055,254.94505494505492,73.62637362637363,526.3736263736264,3.296703296703297,91
3604013,525.0,159.6153846153846,35.57692307692308,329.80769230769226,0.9615384615384616,104
3604014,952.9411764705882,258.8235294117647,80.0,614.1176470588235,7.0588235294117645,85
3604015,1156.9620253164555,315.1898734177215,65.82278481012658,775.9493670886076,1.2658227848101267,79
3604016,680.1587301587301,192.85714285714286,42.857142857142854,444.44444444444446,3.1746031746031744,126
3604017,643.6893203883495,181.55339805825244,40.77669902912621,421.3592233009709,7.766990291262135,103
3604018,659.4594594594595,181.08108108108107,56.75675675675676,421.62162162162156,4.054054054054054,74
3604101,660.9375,173.4375,43.75,443.75,3.90625,128
3604102,792.0792079207921,239.60396039603958,82.17821782178217,470.2970297029703,4.9504950495049505,101
3604103,367.70833333333337,108.68055555555556,24.305555555555554,234.72222222222223,2.430555555555556,288
3604104,240.08264462809916,47.107438016528924,4.958677685950414,188.01652892561984,1.2396694214876034,242
3604105,438.9578163771712,39.45409429280397,7.196029776674938,392.30769230769226,1.488833746898263,403
3604106,455.0264550264551,98.4126984126984,13.756613756613756,342.85714285714283,0.5291005291005291,189
3604107,647.9166666666667,192.70833333333331,64.58333333333334,390.625,2.083333333333333,96
3604108,501.1363636363637,170.45454545454547,30.681818181818183,300.0,3.4090909090909087,88
3604109,652.2875816993464,137.90849673202615,64.05228758169935,450.3267973856209,4.57516339869281,153
3604110,461.0778443113772,113.17365269461077,36.52694610778443,311.37724550898207,3.592814371257485,167
3604111,647.65625,132.03125,42.1875,473.4375,3.90625,128
3604112,704.5977011494253,112.64367816091954,22.22222222222222,569.7318007662835,2.681992337164751,261
3604113,634.1614906832298,78.26086956521739,18.633540372670808,537.2670807453417,4.968944099378882,161
3604114,289.3491124260355,55.02958579881657,14.201183431952662,220.11834319526628,1.7751479289940828,169
