PUMA,Total Injuries per 100 Street Miles,Pedestrian Injuries per 100 Street Miles,Cyclist Injuries per 100 Street Miles,Motorist Injuries per 100 Street Miles,Total Fatalities per 100 Street Miles
3603701,460.75949367088606,144.30379746835442,18.9873417721519,297.46835443037975,1.2658227848101267
3603702,539.5348837209302,131.7829457364341,24.031007751937985,383.72093023255815,2.3255813953488373
3603703,256.1728395061728,55.55555555555556,7.4074074074074066,193.20987654320987,0.6172839506172839
3603704,631.3725490196078,155.88235294117646,20.588235294117645,454.9019607843137,3.9215686274509802
3603705,1187.0,261.0,59.0,867.0,7.000000000000001
3603706,1275.5555555555557,420.0,51.11111111111111,804.4444444444445,6.666666666666667
3603707,1320.8333333333335,360.41666666666663,45.83333333333333,914.5833333333334,4.166666666666666
3603708,1124.5901639344263,308.1967213114754,62.295081967213115,754.0983606557378,6.557377049180328
3603709,760.5263157894738,177.19298245614036,28.947368421052634,554.3859649122808,6.140350877192982
3603710,836.2903225806452,212.9032258064516,37.096774193548384,586.2903225806452,6.451612903225806
3603801,972.2222222222222,311.11111111111114,77.77777777777779,583.3333333333333,2.7777777777777777
3603802,1137.7777777777778,304.44444444444446,108.88888888888889,724.4444444444445,6.666666666666667
3603803,1213.953488372093,388.3720930232558,95.34883720930233,730.2325581395348,6.976744186046512
3603804,943.3333333333334,305.0,93.33333333333333,545.0,6.666666666666667
3603805,1078.688524590164,427.8688524590164,160.65573770491804,490.16393442622956,3.278688524590164
3603806,955.5555555555555,363.4920634920635,123.80952380952381,468.25396825396825,7.936507936507936
3603807,1896.5116279069769,840.6976744186046,265.1162790697674,790.6976744186046,11.627906976744185
3603808,1773.5849056603772,701.8867924528303,260.37735849056605,811.3207547169811,5.660377358490567
3603809,1234.4827586206898,420.6896551724138,253.44827586206895,560.344827586207,6.896551724137931
3603810,1126.595744680851,450.0,184.04255319148936,492.5531914893617,2.127659574468085
3603901,176.5151515151515,23.737373737373737,2.525252525252525,150.25252525252526,0.7575757575757576
3603902,284.8024316109422,33.43465045592705,4.86322188449848,246.50455927051672,0.911854103343465
3603903,329.5918367346939,62.585034013605444,10.54421768707483,256.4625850340136,1.3605442176870748
3604001,642.2413793103449,168.9655172413793,131.0344827586207,342.2413793103448,7.758620689655173
3604002,1107.5757575757575,236.36363636363637,162.12121212121212,709.0909090909091,6.0606060606060606
3604003,1100.0,293.22033898305085,172.8813559322034,633.8983050847457,1.694915254237288
3604004,1171.578947368421,294.7368421052631,160.0,716.8421052631578,1.0526315789473684
3604005,697.8947368421052,152.63157894736844,97.89473684210527,447.3684210526316,2.1052631578947367
3604006,1828.8135593220338,474.57627118644064,150.84745762711864,1203.3898305084745,3.389830508474576
3604007,1510.126582278481,344.30379746835445,129.1139240506329,1036.7088607594937,2.5316455696202533
3604008,1131.111111111111,189.62962962962965,51.85185185185185,889.6296296296296,4.444444444444445
3604009,690.2439024390244,123.90243902439025,35.12195121951219,531.219512195122,4.878048780487805
3604010,1908.0459770114942,306.89655172413796,111.49425287356323,1489.655172413793,5.747126436781609
3604011,1690.2439024390244,397.5609756097561,165.85365853658536,1126.8292682926829,7.317073170731707
3604012,862.6373626373626,237.36263736263737,86.81318681318682,538.4615384615385,5.4945054945054945
3604013,501.9230769230769,150.96153846153845,29.807692307692307,321.1538461538462,0.9615384615384616
3604014,889.4117647058824,275.29411764705884,75.29411764705883,538.8235294117648,7.0588235294117645
3604015,1232.9113924050632,330.37974683544303,101.26582278481013,801.2658227848101,7.59493670886076
3604016,613.4920634920635,150.0,49.2063492063492,414.28571428571433,3.1746031746031744
3604017,703.8834951456311,209.70873786407768,58.252427184466015,435.9223300970874,4.854368932038835
3604018,601.3513513513514,198.64864864864865,48.64864864864865,354.05405405405406,2.7027027027027026
3604101,714.0625,209.375,68.75,435.9375,2.34375
3604102,908.9108910891089,222.77227722772278,121.78217821782178,564.3564356435643,2.9702970297029703
3604103,342.36111111111114,107.63888888888889,18.055555555555554,216.66666666666666,1.0416666666666665
3604105,414.39205955334984,37.71712158808933,9.429280397022332,367.24565756823824,1.488833746898263
3604106,489.94708994709,102.64550264550265,23.28042328042328,364.021164021164,2.6455026455026456
3604107,688.5416666666667,180.20833333333331,80.20833333333334,428.125,3.125
3604108,397.7272727272727,122.72727272727273,27.27272727272727,247.72727272727272,3.4090909090909087
3604109,584.9673202614379,132.02614379084966,54.90196078431373,398.03921568627453,3.9215686274509802
3604110,495.2095808383233,112.57485029940119,38.32335329341318,344.311377245509,1.7964071856287425
3604111,646.09375,145.3125,35.9375,464.84375,3.90625
3604112,670.8812260536399,131.8007662835249,24.904214559386972,514.176245210728,1.532567049808429
3604113,542.2360248447205,88.19875776397515,23.60248447204969,430.4347826086956,1.8633540372670807
3604114,278.698224852071,50.887573964497044,14.792899408284024,213.01775147928996,1.7751479289940828
